candidate_id,item_id,meeting_id,location_id,candidate_name,candidate_address,candidate_source,arcgis_query,evidence,review_status
22,1277,169,170,1962 Federal Aid Highway,"1962 Federal Aid Highway, Estero, FL",address_regex,"1962 Federal Aid Highway, Estero, FL","No formal action recorded. Presentation - Metropolitan Planning Organization (MPO) (Mayor Batos) Don Scott, Executive Director, explained that the MPO was a transportation policy making board which included representatives from the cities of Bonita Springs, Cape Coral, Fort Myers, Sanibel, Town of Fort Myers Beach, Village of Estero, and Lee County Commissioners. He stated that, based on State and Federal laws, the MPO was responsible for establishing a continuing, cooperative, and comprehensive",Needs Geocode
23,1311,171,175,22604 S. Tamiami Trail,"22604 S. Tamiami Trail, Estero, FL",address_regex,"22604 S. Tamiami Trail, Estero, FL","No formal action recorded. Coconut Point Ford Expansion - Development Order (DOS2023-E004) (District 1) 22600 & 22604 S. Tamiami Trail, located on the west side of US 41 and south of Galloway Ford Road. Currently the property is used for Coconut Point Pre-Owned vehicle sales. Applicant seeks to construct an addition for 18 vehicle service bays, 14 parking spaces and related infrastructure. Staff Presentation/Comments Mary Gibbs, Community Development Director Jim Hart, Development Review Manager",Needs Geocode
24,1353,178,178,8001 Via Rapallo Drive,"8001 Via Rapallo Drive, Estero, FL",address_regex,"8001 Via Rapallo Drive, Estero, FL","No formal action recorded. (No votes are taken at Public Information Meetings) The public will have an opportunity to speak for three minutes per agenda item. a. Marketplace at Coconut Point (District 6) -- Development Order 8001 Via Rapallo Drive, located on the southeast corner of US 41 and Via Rapallo Drive and north of Sweetwater Ranch Boulevard. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: Jeff Williams, Konover South Public Comment: I",Needs Geocode
25,1493,193,37,Summercrest,"Summercrest, Estero, FL",known_location_missing_coordinates,"Summercrest, Estero, FL",Approved the Development Order with staff stipulations,Needs Geocode
26,1500,194,139,10351 Corkscrew Commons Drive,"10351 Corkscrew Commons Drive, Estero, FL",address_regex,"10351 Corkscrew Commons Drive, Estero, FL","Approved Development Order with staff recommendations, the change of the dark blue to the lighter blue, and the deviation in parking",Needs Geocode
27,1530,197,175,22604 S. Tamiami Trail,"22604 S. Tamiami Trail, Estero, FL",address_regex,"22604 S. Tamiami Trail, Estero, FL","Approved the addition of 18 vehicle service bays, 14 parking spaces and related infrastructure with staff conditions",Needs Geocode
28,1539,198,134,22961 Lyden Drive,"22961 Lyden Drive, Estero, FL",address_regex,"22961 Lyden Drive, Estero, FL",Recommended to the Council to approve the zoning amendment with the amendment of condition 2 and the addition of condition 4,Needs Geocode
29,1774,227,195,20280 Grand Oaks Shoppes Boulevard,"20280 Grand Oaks Shoppes Boulevard, Estero, FL",address_regex,"20280 Grand Oaks Shoppes Boulevard, Estero, FL",Approved the design for the monument and directional signs,Needs Geocode
30,1865,239,50,10500 Corkscrew Road,"10500 Corkscrew Road, Estero, FL",address_regex,"10500 Corkscrew Road, Estero, FL",Approved the Development Order,Needs Geocode
31,1866,239,50,10500 Corkscrew Road,"10500 Corkscrew Road, Estero, FL",address_regex,"10500 Corkscrew Road, Estero, FL",Approved request with staff conditions,Needs Geocode
32,1884,242,139,10351 Corkscrew Commons Drive,"10351 Corkscrew Commons Drive, Estero, FL",address_regex,"10351 Corkscrew Commons Drive, Estero, FL",Approved revision to Development Order to remove the stone at the base of the building and clarify the color of Utterly Beige for the base,Needs Geocode
33,1911,245,199,22942 Lyden Lane,"22942 Lyden Lane, Estero, FL",address_regex,"22942 Lyden Lane, Estero, FL","Passed first reading of Ordinance No. 2016-13 and scheduled second reading and public hearing for December 7, 2016",Needs Geocode
34,1981,252,50,10500 Corkscrew Road,"10500 Corkscrew Road, Estero, FL",address_regex,"10500 Corkscrew Road, Estero, FL","Approved the Development Order subject to the applicant working with staff to find a warmer color for the roof tiles, and if a warmer color is not found in adequate supply, the applicant will have to come back to the board with a rendering of what is being recommended",Needs Geocode
35,2077,265,205,22941 Lyden Drive,"22941 Lyden Drive, Estero, FL",address_regex,"22941 Lyden Drive, Estero, FL",Approved request for outdoor consumption on premises with staff conditions,Needs Geocode
36,2215,282,207,9501 Vintage Trace Circle,"9501 Vintage Trace Circle, Estero, FL",address_regex,"9501 Vintage Trace Circle, Estero, FL","No formal action recorded. Estero Country Club Pickleball Limited Development Order (LDO2024-E041) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date.  9501 Vintage Tra",Needs Geocode
37,2266,294,211,9870 Horne Lane,"9870 Horne Lane, Estero, FL",address_regex,"9870 Horne Lane, Estero, FL",Move to approve removal of lien,Needs Geocode
38,2500,316,217,4406 And 4410 Coconut Road,"4406 And 4410 Coconut Road, Estero, FL",address_regex,"4406 And 4410 Coconut Road, Estero, FL","Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 2020",Needs Geocode
39,2520,318,219,4406 and 4410 Coconut Road,"4406 and 4410 Coconut Road, Estero, FL",address_regex,"4406 and 4410 Coconut Road, Estero, FL","continued to the January 22, 2020 Village Council meeting",Needs Geocode
40,2527,319,219,4406 and 4410 Coconut Road,"4406 and 4410 Coconut Road, Estero, FL",address_regex,"4406 and 4410 Coconut Road, Estero, FL","Adopted Ordinance No. 2020-01 Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut",Needs Geocode
41,2545,322,221,22350 S Tamiami Trail,"22350 S Tamiami Trail, Estero, FL",address_regex,"22350 S Tamiami Trail, Estero, FL",Postponed two weeks,Needs Geocode
42,2554,323,221,22350 S Tamiami Trail,"22350 S Tamiami Trail, Estero, FL",address_regex,"22350 S Tamiami Trail, Estero, FL","Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment ofa reduced fine of$15,000 and $331 .50 for administrative costs",Needs Geocode
