ProjectName,LayerCategory,CategoryID,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType,LocationSeq,IsPrimary,ParcelID
Corkscrew Road,"Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-10-25,2022-10-25,2022,Accepted,1858,9,Public Comment,"Limited Development Order - Villages of Country Creek (District 4) Pickleball Court - Court located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway. Request to use one existing tennis court for p...","Limited Development Order - Villages of Country Creek (District 4) Pickleball Court - Court located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway. Request to use one existing tennis court for picklebal. Action: No formal action recorded. Limited Development Order - Villages of Country Creek (District 4) Pickleball Court - Court located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway. Requ...","No formal action recorded. Limited Development Order - Villages of Country Creek (District 4) Pickleball Court - Court located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway. Request to use one existing tennis court for pickleball. Staff Presentation/Comments Mary Gibbs, Community Development Director Jim Hart, Development Review Manager Presentation/Information by Dennis Fahey, Villages of Country Creek General Manager Public Comment In Person Lisa Keller, Villages of Country Creek Sharon Buze, Villages of Country Creek Don Lewis, Villages of Country Creek Ron Ruggiere, Villages of Country Creek George Molnar, Villages of Country Creek David Castello, Villages of Country Creek Carol DeFrank, Villages of Country Creek Betty Sayid, Villages of Country Creek  eComments Darlene Damstrom. Villages of Country Creek Kimberly Riley, Villages of Country Creek Allen Dams","No formal action recorded. Limited Development Order - Villages of Country Creek (District 4) Pickleball Court - Court located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway. Request to use one existing tennis court for pickleball. Staff Presentation/Comments Mary Gibbs, Community Development Director Jim Hart, Development Review Manager Presentation/Information by Dennis Fahey, Villages of Country Creek General Manager Public Comment In Person Lisa Keller, Villages of Country Creek Sharon Buze, Villages of Country Creek Don Lewis, Villages of Country Creek Ron Ruggiere, Villages of Country Creek George Molnar, Villages of Country Creek David Castello, Villages of Country Creek Carol DeFrank, Villages of Country Creek Betty Sayid, Villages of Country Creek  eComments Darlene Damstrom. Villages of Country Creek Kimberly Riley, Villages of Country Creek Allen Dams",,,,,,,4,21180 COUNTRY CREEK DR,21180 COUNTRY CREEK DR,26.437389192896752,-81.79482782963828,0.98,null,10252022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/10252022%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,274625E3050M000CE
Corkscrew Road,"Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-07-25,2023-07-25,2023,Accepted,1293,4,Unknown,"Villages of Country Creek Limited Development Order - Villages of Country Creek Pickleball Court (LDO2022-E044) (District 4) The court is located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway....","Villages of Country Creek Limited Development Order - Villages of Country Creek Pickleball Court (LDO2022-E044) (District 4) The court is located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway. Request . Action: Denied the application based on the proximity of the nearest homes and also the proximity of the adjacent amenities",Denied the application based on the proximity of the nearest homes and also the proximity of the adjacent amenities,Denied the application based on the proximity of the nearest homes and also the proximity of the adjacent amenities,,,,See minutes,,LDO2022-E044,4,21180 COUNTRY CREEK DR,21180 COUNTRY CREEK DR,26.437389192896752,-81.79482782963828,0.98,null,07252023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/07252023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,274625E3050M000CE
Fee Reduction as an Incentive in Village Center,"Meetings, Records & Public Input",8,Village Council,Regular Meeting,Village Council,2017-04-05,2017-04-05,2017,Accepted,485,9,Unknown,Fee Reduction as an Incentive in Village Center,"Fee Reduction as an Incentive in Village Center. Action: No formal action recorded. Fee Reduction as an Incentive in Village Center Village Manager Sarkozy stated that this agenda item was a result of the March 15, 2017 Council workshop related to the request of the Genova developer. At the workshop, two proposed options were discussed: building permit fee reduction or waiver for indoor (under building) parking and fee reduction or waiver for using a private provider company for building insp...","No formal action recorded. Fee Reduction as an Incentive in Village Center Village Manager Sarkozy stated that this agenda item was a result of the March 15, 2017 Council workshop related to the request of the Genova developer. At the workshop, two proposed options were discussed: building permit fee reduction or waiver for indoor (under building) parking and fee reduction or waiver for using a private provider company for building inspections. Community Development Director Gibbs stated that the fees are set in the fee schedule, which did not include a provision for waivers. She also spoke to the options provided to Council in the Agenda Item Summary Sheet. Director Gibbs noted that parking garages required detailed inspections. She inquired whether fee reductions would be automatic for any project in the Village Center. Questions or Comments by: Councilmembers Levitan, Errington, Batos, Vice Mayor Ribble and May","No formal action recorded. Fee Reduction as an Incentive in Village Center Village Manager Sarkozy stated that this agenda item was a result of the March 15, 2017 Council workshop related to the request of the Genova developer. At the workshop, two proposed options were discussed: building permit fee reduction or waiver for indoor (under building) parking and fee reduction or waiver for using a private provider company for building inspections. Community Development Director Gibbs stated that the fees are set in the fee schedule, which did not include a provision for waivers. She also spoke to the options provided to Council in the Agenda Item Summary Sheet. Director Gibbs noted that parking garages required detailed inspections. She inquired whether fee reductions would be automatic for any project in the Village Center. Questions or Comments by: Councilmembers Levitan, Errington, Batos, Vice Mayor Ribble and May",,,,,,,,"21450 Strada Nuova Circle, Estero, FL","21450 Strada Nuova Circle, Estero, FL",26.428168875365,-81.804317441678,0.9,,040517 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/040517%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
"First Reading of Ordinance No. 2022-16 Genova Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Estero Planned Development Zoning Adopted by Ordinance 2016-08 For ""Genova"", for a3.6-Acre Property...","Meetings, Records & Public Input",8,Village Council,Regular Meeting,Village Council,2022-10-19,2022-10-19,2022,Accepted,1814,7,Ordinance,"First Reading of Ordinance No. 2022-16 Genova Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Estero Planned Development Zoning Adopted by Ordinance 2016-08 For ""Genova"", for a3.6-Acre Property...","First Reading of Ordinance No. 2022-16 Genova Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Estero Planned Development Zoning Adopted by Ordinance 2016-08 For ""Genova"", for a3.6-Acre Property Parcel . Action: Passed first reading of Ordinance No. 2022-16 and set second reading and public hearing for November 2, 2022","Passed first reading of Ordinance No. 2022-16 and set second reading and public hearing for November 2, 2022","Passed first reading of Ordinance No. 2022-16 and set second reading and public hearing for November 2, 2022","Passed first reading of Ordinance No. 2022-16 and set second reading and public hearing for November 2, 2022",,,Detected,,Ordinance No. 2022-16,,"21450 Strada Nuova Circle, Estero, FL","21450 Strada Nuova Circle, Estero, FL",26.428168875365,-81.804317441678,1.0,TD/CS,10192022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/10192022%20minutes.pdf,AgendaItemLocation,1,true,
"Public Information Meeting was held September 28, 2021, and a Workshop was held April 12, 2022. Planning Zoning and Design Board will make a recommendation to Council. Chairman Wood provided information regarding Board business and quasi-judicial...","Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-09-13,2022-09-13,2022,Accepted,1522,1,Unknown,"Public Information Meeting was held September 28, 2021, and a Workshop was held April 12, 2022. Planning Zoning and Design Board will make a recommendation to Council. Chairman Wood provided information regarding Board business and quasi-judicial...","Public Information Meeting was held September 28, 2021, and a Workshop was held April 12, 2022. Planning Zoning and Design Board will make a recommendation to Council. Chairman Wood provided information regarding Board business and quasi-judicial hearings. Action: Recommended to the Council to approve of the zoning amendment for Genova with additional language to condition 4, which is the pattern book","Recommended to the Council to approve of the zoning amendment for Genova with additional language to condition 4, which is the pattern book","Recommended to the Council to approve of the zoning amendment for Genova with additional language to condition 4, which is the pattern book",,,,See minutes,,,,"21450 Strada Nuova Circle, Estero, FL","21450 Strada Nuova Circle, Estero, FL",26.428168875365,-81.804317441678,0.9,null,09132022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/09132022%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
"Monument Sign - River of Life Assembly of God (Permit Pending) (District 5) Located at 21580 River Ranch Road, north of Block Lane and on the west side of River Ranch No ex parte communication or conflicts of interest were noted","Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-06-14,2022-06-14,2022,Accepted,974,1,Vote,"Monument Sign - River of Life Assembly of God (Permit Pending) (District 5) Located at 21580 River Ranch Road, north of Block Lane and on the west side of River Ranch No ex parte communication or conflicts of interest were noted","Monument Sign - River of Life Assembly of God (Permit Pending) (District 5) Located at 21580 River Ranch Road, north of Block Lane and on the west side of River Ranch No ex parte communication or conflicts of interest were noted. Action: Approved the Monument Sign - River of Life Assembly of God",Approved the Monument Sign - River of Life Assembly of God,Approved the Monument Sign - River of Life Assembly of God,Approved the Monument Sign - River of Life Assembly of God,,,See minutes,,,5,21580 RIVER RANCH RD,21580 RIVER RANCH RD,26.426366236141643,-81.7957610238013,0.98,null,06142022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/06142022%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,344625E30100C025D
"Zoning Amendment - Coconut Trace, Parcels C and D (District 2) (DCI2022-E002) 22951-22961 Lyden Drive, 3.5 vacant acres on the west side of US 41 north of Coconut Road. Applicant is seeking to amend the zoning uses to revise real estate sales to a...","Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-09-13,2022-09-13,2022,Accepted,1525,4,Unknown,"Zoning Amendment - Coconut Trace, Parcels C and D (District 2) (DCI2022-E002) 22951-22961 Lyden Drive, 3.5 vacant acres on the west side of US 41 north of Coconut Road. Applicant is seeking to amend the zoning uses to revise real estate sales to a...","Zoning Amendment - Coconut Trace, Parcels C and D (District 2) (DCI2022-E002) 22951-22961 Lyden Drive, 3.5 vacant acres on the west side of US 41 north of Coconut Road. Applicant is seeking to amend the zoning uses to revise real estate sales to allow a r. Action: Recommended to the Council to approve the zoning amendment with the amendment of condition 2 and the addition of condition 4",Recommended to the Council to approve the zoning amendment with the amendment of condition 2 and the addition of condition 4,Recommended to the Council to approve the zoning amendment with the amendment of condition 2 and the addition of condition 4,,,,See minutes,,DCI2022-E002,2,22961 Lyden Drive,"22961 Lyden Drive, Estero, FL",26.402115489543,-81.811415991658,1.0,null,09132022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/09132022%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
"Consider First Reading of Ordinance No. 2019-30 for Voluntary Annexation of 10 Acre Property At 4528, 4406 And 4410 Coconut Road, and Set Second Reading for January 8, 2020 Ordinance No. 2019-30 An Ordinance of the Village ofEstero, Annexing Prope...","Meetings, Records & Public Input",8,Village Council,Regular Meeting,Village Council,2019-12-04,2019-12-04,2019,Accepted,2486,8,Ordinance,"Consider First Reading of Ordinance No. 2019-30 for Voluntary Annexation of 10 Acre Property At 4528, 4406 And 4410 Coconut Road, and Set Second Reading for January 8, 2020 Ordinance No. 2019-30 An Ordinance of the Village ofEstero, Annexing Prope...","Consider First Reading of Ordinance No. 2019-30 for Voluntary Annexation of 10 Acre Property At 4528, 4406 And 4410 Coconut Road, and Set Second Reading for January 8, 2020 Ordinance No. 2019-30 An Ordinance of the Village ofEstero, Annexing Property Loca. Action: Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 2020","Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 2020","Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 2020","Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 2020",,,Detected,,Ordinance No. 2019-30,,4406 And 4410 Coconut Road,"4406 And 4410 Coconut Road, Estero, FL",26.398566005006,-81.82671497661,0.98,,20191204 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2019%20MINUTES/Council/20191204%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
"Ordinance No. 2019-30 An Ordinance ofthe Village Council of the Village of Estero, Florida, Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida, into the Corporate Limits ofthe Village in Accordance with the Annexati...","Meetings, Records & Public Input",8,Village Council,Regular Meeting,Village Council,2020-01-08,2020-01-08,2020,Accepted,2506,13,Vote,"Ordinance No. 2019-30 An Ordinance ofthe Village Council of the Village of Estero, Florida, Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida, into the Corporate Limits ofthe Village in Accordance with the Annexati...","Ordinance No. 2019-30 An Ordinance ofthe Village Council of the Village of Estero, Florida, Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida, into the Corporate Limits ofthe Village in Accordance with the Annexation Provi. Action: continued to the January 22, 2020 Village Council meeting","continued to the January 22, 2020 Village Council meeting","continued to the January 22, 2020 Village Council meeting","continued to the January 22, 2020 Village Council meeting",,,Detected,,Ordinance No. 2019-30,,4406 and 4410 Coconut Road,"4406 and 4410 Coconut Road, Estero, FL",26.398566005006,-81.82671497661,0.98,,2020-01-08 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-01-08%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
"Ordinance No. 2019-30 An Ordinance ofthe Village Council ofthe Village of Estero, Florida, Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida, into the Corporate Limits of the Village in Accordance with the Annexati...","Meetings, Records & Public Input",8,Village Council,Regular Meeting,Village Council,2020-01-22,2020-01-22,2020,Accepted,2513,5,Ordinance,"Ordinance No. 2019-30 An Ordinance ofthe Village Council ofthe Village of Estero, Florida, Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida, into the Corporate Limits of the Village in Accordance with the Annexati...","Ordinance No. 2019-30 An Ordinance ofthe Village Council ofthe Village of Estero, Florida, Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida, into the Corporate Limits of the Village in Accordance with the Annexation Provi. Action: Adopted Ordinance No. 2020-01 Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut","Adopted Ordinance No. 2020-01 Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut","Adopted Ordinance No. 2020-01 Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut","Adopted Ordinance No. 2020-01 Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut",,,Detected,,Ordinance No. 2019-30,,4406 and 4410 Coconut Road,"4406 and 4410 Coconut Road, Estero, FL",26.398566005006,-81.82671497661,0.98,,2020-01-22 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-01-22%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
Comprehensive Plan,"Meetings, Records & Public Input",8,Village Council,Regular Meeting,Village Council,2021-01-06,2021-01-06,2021,Accepted,150,8,Ordinance,"Second Public Hearing to consider Ordinance 2020-07 to adopt a Comprehensive Plan Amendment for annexed property located at 4528 and 4408-4410 Coconut Road. An Ordinance of the Village Council of the Village of Estero, Florida, Adopting an Amendme...","Second Public Hearing to consider Ordinance 2020-07 to adopt a Comprehensive Plan Amendment for annexed property located at 4528 and 4408-4410 Coconut Road. An Ordinance of the Village Council of the Village of Estero, Florida, Adopting an Amendment to th. Action: Adopted Ordinance 2020-07",Adopted Ordinance 2020-07,Adopted Ordinance 2020-07,Adopted Ordinance 2020-07,,,Detected,,Ordinance 2020-07,,4410 Coconut Road,"4410 Coconut Road, Estero, FL",26.398566005006,-81.82671497661,1.0,TD/SS,0162021 Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/0162021%20Minutes.pdf,AgendaItemLocation,1,true,
"Approval of code enforcement lien compromise payment from Pro Energy, LLC","Meetings, Records & Public Input",8,Village Council,Regular Meeting,Village Council,2024-01-03,2024-01-03,2024,Accepted,4,4,Unknown,"Approval of code enforcement lien compromise payment from Pro Energy, LLC","Approval of code enforcement lien compromise payment from Pro Energy, LLC. Action: Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made","Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made","Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made",,,,Detected,Pro Energy,,,"8800 Corkscrew Road, Estero, FL","8800 Corkscrew Road, Estero, FL",26.430882013604,-81.807370969005,1.0,TD/CS,01032024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,"Meetings, Records & Public Input",8,Village Council,Regular Meeting,Village Council,2022-04-13,2022-04-13,2022,Accepted,564,2,Public Comment,Tour 8801 Corkscrew Road,"Tour 8801 Corkscrew Road. Action: No formal action recorded. Tour 8801 Corkscrew Road Mayor Errington explained the purpose of the meeting today. Staff Comments Burt Saunders, Village Attorney, explained how the tour will be conducted with Council. Steve Sarkozy, Village Manager, explained that 8801 Corkscrew property was transferred on April 8, 2022 and it is not move in ready. Purpose of the tour today is to give Council the opportunity to see the building and property. Council Questions or...","No formal action recorded. Tour 8801 Corkscrew Road Mayor Errington explained the purpose of the meeting today. Staff Comments Burt Saunders, Village Attorney, explained how the tour will be conducted with Council. Steve Sarkozy, Village Manager, explained that 8801 Corkscrew property was transferred on April 8, 2022 and it is not move in ready. Purpose of the tour today is to give Council the opportunity to see the building and property. Council Questions or Comments Councilmember Ribble asked if the Village has photos of the house. Steve Sarkozy, Village Manager, answered photos are available of what the house looks like now. Councilmember Wilson commented that Happehatchee is to the west of this property. Public Comment Clark Mackenzie, Highlands Ave, asked about Charles Dauray and if he was a water commissioner at one time? Steve Sarkozy, Village Manager, explained Mr. Dauray was a local artist. Burt Saunders,","No formal action recorded. Tour 8801 Corkscrew Road Mayor Errington explained the purpose of the meeting today. Staff Comments Burt Saunders, Village Attorney, explained how the tour will be conducted with Council. Steve Sarkozy, Village Manager, explained that 8801 Corkscrew property was transferred on April 8, 2022 and it is not move in ready. Purpose of the tour today is to give Council the opportunity to see the building and property. Council Questions or Comments Councilmember Ribble asked if the Village has photos of the house. Steve Sarkozy, Village Manager, answered photos are available of what the house looks like now. Councilmember Wilson commented that Happehatchee is to the west of this property. Public Comment Clark Mackenzie, Highlands Ave, asked about Charles Dauray and if he was a water commissioner at one time? Steve Sarkozy, Village Manager, explained Mr. Dauray was a local artist. Burt Saunders,",,,,,Council,,,"8801 Corkscrew Road, Estero, FL","8801 Corkscrew Road, Estero, FL",26.434598214195,-81.807374237947,1.0,TD/CS,04132022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/04132022%20minutes.pdf,AgendaItemLocation,1,true,
Williams Road Improvements,"Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-12-13,2022-12-13,2022,Accepted,2219,6,Public Comment,"Village Initiated Rezoning - Williams Road Property (District 5) 9000 Williams Road, located east of the railroad and north of Williams Road Village proposes to rezone ± 20 acres on the north side of Williams Road that includes the Golf Coast Driv...","Village Initiated Rezoning - Williams Road Property (District 5) 9000 Williams Road, located east of the railroad and north of Williams Road Village proposes to rezone ± 20 acres on the north side of Williams Road that includes the Golf Coast Driving Rang. Action: No formal action recorded. Village Initiated Rezoning - Williams Road Property (District 5) 9000 Williams Road, located east of the railroad and north of Williams Road Village proposes to rezone ± 20 acres on the north side of Willi...","No formal action recorded. Village Initiated Rezoning - Williams Road Property (District 5) 9000 Williams Road, located east of the railroad and north of Williams Road Village proposes to rezone ± 20 acres on the north side of Williams Road that includes the Golf Coast Driving Range and a vacant parcel formerly owned by a church. Staff Presentation/Comments Mary Gibbs, Community Development Director Public Comment None. Board Questions or Comments Board Member Wallace, Vice Chairman Gargano, and Chairman Wood","No formal action recorded. Village Initiated Rezoning - Williams Road Property (District 5) 9000 Williams Road, located east of the railroad and north of Williams Road Village proposes to rezone ± 20 acres on the north side of Williams Road that includes the Golf Coast Driving Range and a vacant parcel formerly owned by a church. Staff Presentation/Comments Mary Gibbs, Community Development Director Public Comment None. Board Questions or Comments Board Member Wallace, Vice Chairman Gargano, and Chairman Wood",,,,,,,5,"9000 Williams Road, Estero, FL","9000 Williams Road, Estero, FL",26.420956750596,-81.80311832661,1.0,null,12132022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/12132022%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
Williams Road Improvements,"Meetings, Records & Public Input",8,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-02-11,2025-02-11,2025,Pending,227,5,Ordinance,"High 5 Building Elevation Review - (DOS2024-E007) (District 4) The Village owned property is located at 9000 Williams Road on the north side of Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as...","High 5 Building Elevation Review - (DOS2024-E007) (District 4) The Village owned property is located at 9000 Williams Road on the north side of Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcri. Action: No formal action recorded. High 5 Building Elevation Review - (DOS2024-E007) (District 4) The Village owned property is located at 9000 Williams Road on the north side of Final Action Agenda/Minutes are supplemented by audio and vid...","No formal action recorded. High 5 Building Elevation Review - (DOS2024-E007) (District 4) The Village owned property is located at 9000 Williams Road on the north side of Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date.  Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Michael Comparato, Vieste Public Comment None. Board Questions or Comments Board Members Jones, Wallace, Jeannin, Paivandy, Tatooles, Vice Chairman Sheeley, and Chairman Gargano","No formal action recorded. High 5 Building Elevation Review - (DOS2024-E007) (District 4) The Village owned property is located at 9000 Williams Road on the north side of Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date.  Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Michael Comparato, Vieste Public Comment None. Board Questions or Comments Board Members Jones, Wallace, Jeannin, Paivandy, Tatooles, Vice Chairman Sheeley, and Chairman Gargano",,,,,June 8,DOS2024-E007,4,"9000 Williams Road, Estero, FL","9000 Williams Road, Estero, FL",26.420956750596,-81.80311832661,1.0,null,02112025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/02112025%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
General Planning & Zoning,"Meetings, Records & Public Input",8,Village Council,Regular Meeting,Village Council,2017-01-18,2017-01-18,2017,Accepted,92,10,Public Comment,"Planning and Zoning Board 2016 Annual Report Planning and Zoning Board Chairman Scotty Wood offered appreciation to the Vice Mayor, Village Land Use Attorney Stroud, Community Development Director Gibbs and her staff. He spoke to the composition a...","Planning and Zoning Board 2016 Annual Report Planning and Zoning Board Chairman Scotty Wood offered appreciation to the Vice Mayor, Village Land Use Attorney Stroud, Community Development Director Gibbs and her staff. He spoke to the composition and quali. Action: No formal action recorded. Planning and Zoning Board 2016 Annual Report Planning and Zoning Board Chairman Scotty Wood offered appreciation to the Vice Mayor, Village Land Use Attorney Stroud, Community Development Director Gibbs an...","No formal action recorded. Planning and Zoning Board 2016 Annual Report Planning and Zoning Board Chairman Scotty Wood offered appreciation to the Vice Mayor, Village Land Use Attorney Stroud, Community Development Director Gibbs and her staff. He spoke to the composition and qualifications of Board Members, stated that the Board's mission was to help the Village grow responsibly and noted that they have had a busy year. Questions or Comments by: Councilmembers Boesch, Wilson, Errington, Ribble, Vice Mayor Levitan, and Mayor Batos. Discussion included compliments to the Board Members and the quality of work demanded; whether Chairman Wood found that the Council Chambers seating capacity was large enough; attendance; the leadership allowing discussion and consensus, improvements to decorum and team environment. Public Comments: Don Eslick, ECCL Village Council Meeting Final Action Agenda/Minutes - January 18, 2017 ","No formal action recorded. Planning and Zoning Board 2016 Annual Report Planning and Zoning Board Chairman Scotty Wood offered appreciation to the Vice Mayor, Village Land Use Attorney Stroud, Community Development Director Gibbs and her staff. He spoke to the composition and qualifications of Board Members, stated that the Board's mission was to help the Village grow responsibly and noted that they have had a busy year. Questions or Comments by: Councilmembers Boesch, Wilson, Errington, Ribble, Vice Mayor Levitan, and Mayor Batos. Discussion included compliments to the Board Members and the quality of work demanded; whether Chairman Wood found that the Council Chambers seating capacity was large enough; attendance; the leadership allowing discussion and consensus, improvements to decorum and team environment. Public Comments: Don Eslick, ECCL Village Council Meeting Final Action Agenda/Minutes - January 18, 2017 ",,,,,,,,"9401 Corkscrew Palms Circle, Estero, FL 33928","9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,0.9,DR/GR,011817 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/011817%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
